DATE,MONTH,RainToday,RainTomorrow,BASEL_pressure,BASEL_humidity,BASEL_temp_mean,BASEL_sunshine,BASEL_pressure_lag1,BASEL_humidity_lag1,BASEL_temp_mean_lag1,BASEL_sunshine_lag1
2000-06-27,6,0,1,1.0207,0.57,15.5,12.5,1.0227,0.62,14.6,13.1
2000-06-28,6,1,0,1.018,0.68,14.7,4.9,1.0207,0.57,15.5,12.5
2000-06-29,6,0,0,1.0189,0.58,17.1,13.0,1.018,0.68,14.7,4.9
2000-06-30,6,0,1,1.0154,0.54,18.8,12.9,1.0189,0.58,17.1,13.0
2000-07-01,7,1,1,1.0121,0.65,20.9,9.6,1.0154,0.54,18.8,12.9
2000-07-02,7,1,1,1.0112,0.68,23.8,10.8,1.0121,0.65,20.9,9.6
2000-07-03,7,1,1,1.011,0.81,19.9,2.5,1.0112,0.68,23.8,10.8
2000-07-04,7,1,0,1.0095,0.71,19.7,6.9,1.011,0.81,19.9,2.5
2000-07-05,7,0,1,1.0178,0.62,19.4,8.8,1.0095,0.71,19.7,6.9
2000-07-06,7,1,1,1.0179,0.6,20.9,13.2,1.0178,0.62,19.4,8.8
2000-07-07,7,1,1,1.0112,0.75,19.9,4.4,1.0179,0.6,20.9,13.2
2000-07-08,7,1,1,1.0163,0.7,15.4,3.9,1.0112,0.75,19.9,4.4
2000-07-09,7,1,1,1.0111,0.76,14.6,0.0,1.0163,0.7,15.4,3.9
2000-07-10,7,1,1,1.0011,0.73,16.1,0.1,1.0111,0.76,14.6,0.0
2000-07-11,7,1,1,1.0049,0.69,14.5,3.5,1.0011,0.73,16.1,0.1
2000-07-12,7,1,1,1.0169,0.76,13.2,1.9,1.0049,0.69,14.5,3.5
2000-07-13,7,1,1,1.0176,0.79,13.7,0.1,1.0169,0.76,13.2,1.9
2000-07-14,7,1,1,1.0116,0.83,13.7,0.1,1.0176,0.79,13.7,0.1
2000-07-15,7,1,1,1.0124,0.78,12.6,2.4,1.0116,0.83,13.7,0.1
2000-07-16,7,1,0,1.0166,0.81,12.7,2.6,1.0124,0.78,12.6,2.4
2000-07-17,7,0,0,1.0192,0.71,14.8,12.0,1.0166,0.81,12.7,2.6
2000-07-18,7,0,0,1.0191,0.66,16.7,11.8,1.0192,0.71,14.8,12.0
2000-07-19,7,0,0,1.0197,0.66,17.0,13.1,1.0191,0.66,16.7,11.8
2000-07-20,7,0,0,1.021,0.67,16.9,9.6,1.0197,0.66,17.0,13.1
2000-07-21,7,0,0,1.0209,0.64,18.5,13.9,1.021,0.67,16.9,9.6
2000-07-22,7,0,1,1.0167,0.63,19.2,12.2,1.0209,0.64,18.5,13.9
2000-07-23,7,1,1,1.0127,0.76,18.8,1.3,1.0167,0.63,19.2,12.2
2000-07-24,7,1,1,1.0081,0.8,19.4,1.3,1.0127,0.76,18.8,1.3
2000-07-25,7,1,1,1.009,0.8,19.0,1.9,1.0081,0.8,19.4,1.3
2000-07-26,7,1,1,1.0121,0.72,19.9,7.9,1.009,0.8,19.0,1.9
2000-07-27,7,1,1,1.0165,0.74,19.7,5.4,1.0121,0.72,19.9,7.9
2000-07-28,7,1,1,1.0173,0.79,17.2,4.0,1.0165,0.74,19.7,5.4
2000-07-29,7,1,0,1.0202,0.86,15.9,0.6,1.0173,0.79,17.2,4.0
2000-07-30,7,0,0,1.0239,0.74,17.6,5.2,1.0202,0.86,15.9,0.6
2000-07-31,7,0,0,1.0239,0.66,19.2,14.0,1.0239,0.74,17.6,5.2
2000-08-01,8,0,1,1.0203,0.66,21.9,13.7,1.0239,0.66,19.2,14.0
2000-08-02,8,1,0,1.0197,0.78,19.6,1.4,1.0203,0.66,21.9,13.7
2000-08-03,8,0,0,1.0205,0.81,17.0,0.8,1.0197,0.78,19.6,1.4
